Tick,CPU_Task,CPU_Util%,TaskID,Name,State
125,IDLE,64.2857,1,T_A,finished
125,IDLE,64.2857,2,T_B,finished
125,IDLE,64.2857,3,T_C,finished
130,T_A,62.5954,1,T_A,running
130,T_A,62.5954,2,T_B,finished
130,T_A,62.5954,3,T_C,finished
131,IDLE,62.8788,1,T_A,finished
131,IDLE,62.8788,2,T_B,finished
131,IDLE,62.8788,3,T_C,finished
140,T_A,59.5745,1,T_A,running
140,T_A,59.5745,2,T_B,ready
140,T_A,59.5745,3,T_C,finished
141,IDLE,59.8592,1,T_A,finished
141,IDLE,59.8592,2,T_B,ready
141,IDLE,59.8592,3,T_C,finished
142,T_B,60.1399,1,T_A,finished
142,T_B,60.1399,2,T_B,running
142,T_B,60.1399,3,T_C,finished
145,IDLE,60.9589,1,T_A,finished
145,IDLE,60.9589,2,T_B,finished
145,IDLE,60.9589,3,T_C,finished
150,T_A,59.6026,1,T_A,running
150,T_A,59.6026,2,T_B,finished
150,T_A,59.6026,3,T_C,ready
151,IDLE,59.8684,1,T_A,finished
151,IDLE,59.8684,2,T_B,finished
151,IDLE,59.8684,3,T_C,ready
152,T_C,60.1307,1,T_A,finished
152,T_C,60.1307,2,T_B,finished
152,T_C,60.1307,3,T_C,running
160,T_A,62.1118,1,T_A,running
160,T_A,62.1118,2,T_B,ready
160,T_A,62.1118,3,T_C,ready
161,IDLE,62.3457,1,T_A,finished
161,IDLE,62.3457,2,T_B,ready
161,IDLE,62.3457,3,T_C,ready
162,T_B,62.5767,1,T_A,finished
162,T_B,62.5767,2,T_B,running
162,T_B,62.5767,3,T_C,ready
165,IDLE,63.253,1,T_A,finished
165,IDLE,63.253,2,T_B,finished
165,IDLE,63.253,3,T_C,ready
166,IDLE,63.4731,1,T_A,finished
166,IDLE,63.4731,2,T_B,finished
166,IDLE,63.4731,3,T_C,finished
170,T_A,62.5731,1,T_A,running
170,T_A,62.5731,2,T_B,finished
170,T_A,62.5731,3,T_C,finished
171,IDLE,62.7907,1,T_A,finished
171,IDLE,62.7907,2,T_B,finished
171,IDLE,62.7907,3,T_C,finished
180,T_A,60.221,1,T_A,running
180,T_A,60.221,2,T_B,ready
180,T_A,60.221,3,T_C,finished
181,IDLE,60.4396,1,T_A,finished
181,IDLE,60.4396,2,T_B,ready
181,IDLE,60.4396,3,T_C,finished
182,T_B,60.6557,1,T_A,finished
182,T_B,60.6557,2,T_B,running
182,T_B,60.6557,3,T_C,finished
185,IDLE,61.2903,1,T_A,finished
185,IDLE,61.2903,2,T_B,finished
185,IDLE,61.2903,3,T_C,finished
190,T_A,60.2094,1,T_A,running
190,T_A,60.2094,2,T_B,finished
190,T_A,60.2094,3,T_C,finished
191,IDLE,60.4167,1,T_A,finished
191,IDLE,60.4167,2,T_B,finished
191,IDLE,60.4167,3,T_C,finished
