Tick,CPU_Task,CPU_Util%,TaskID,Name,State
86,IDLE,60.9195,1,T_A,finished
86,IDLE,60.9195,2,T_B,finished
86,IDLE,60.9195,3,T_C,finished
88,T_A,60.6742,1,T_A,running
88,T_A,60.6742,2,T_B,finished
88,T_A,60.6742,3,T_C,finished
89,IDLE,61.1111,1,T_A,finished
89,IDLE,61.1111,2,T_B,finished
89,IDLE,61.1111,3,T_C,finished
96,T_B,57.732,1,T_A,ready
96,T_B,57.732,2,T_B,running
96,T_B,57.732,3,T_C,finished
97,IDLE,58.1633,1,T_A,ready
97,IDLE,58.1633,2,T_B,finished
97,IDLE,58.1633,3,T_C,finished
98,T_A,58.5859,1,T_A,running
98,T_A,58.5859,2,T_B,finished
98,T_A,58.5859,3,T_C,finished
99,IDLE,59,1,T_A,finished
99,IDLE,59,2,T_B,finished
99,IDLE,59,3,T_C,finished
100,T_C,59.4059,1,T_A,finished
100,T_C,59.4059,2,T_B,finished
100,T_C,59.4059,3,T_C,running
102,IDLE,60.1942,1,T_A,finished
102,IDLE,60.1942,2,T_B,finished
102,IDLE,60.1942,3,T_C,finished
104,T_A,60,1,T_A,running
104,T_A,60,2,T_B,finished
104,T_A,60,3,T_C,finished
105,IDLE,60.3774,1,T_A,finished
105,IDLE,60.3774,2,T_B,finished
105,IDLE,60.3774,3,T_C,finished
108,T_B,59.633,1,T_A,finished
108,T_B,59.633,2,T_B,running
108,T_B,59.633,3,T_C,finished
109,IDLE,60,1,T_A,finished
109,IDLE,60,2,T_B,finished
109,IDLE,60,3,T_C,finished
112,T_A,59.292,1,T_A,running
112,T_A,59.292,2,T_B,finished
112,T_A,59.292,3,T_C,finished
113,IDLE,59.6491,1,T_A,finished
113,IDLE,59.6491,2,T_B,finished
113,IDLE,59.6491,3,T_C,finished
120,T_B,57.0248,1,T_A,ready
120,T_B,57.0248,2,T_B,running
120,T_B,57.0248,3,T_C,ready
121,IDLE,57.377,1,T_A,ready
121,IDLE,57.377,2,T_B,finished
121,IDLE,57.377,3,T_C,ready
122,T_A,57.7236,1,T_A,running
122,T_A,57.7236,2,T_B,finished
122,T_A,57.7236,3,T_C,ready
123,IDLE,58.0645,1,T_A,finished
123,IDLE,58.0645,2,T_B,finished
123,IDLE,58.0645,3,T_C,ready
124,T_C,58.4,1,T_A,finished
124,T_C,58.4,2,T_B,finished
124,T_C,58.4,3,T_C,running
126,IDLE,59.0551,1,T_A,finished
126,IDLE,59.0551,2,T_B,finished
126,IDLE,59.0551,3,T_C,finished
128,T_A,58.9147,1,T_A,running
128,T_A,58.9147,2,T_B,finished
128,T_A,58.9147,3,T_C,finished
129,IDLE,59.2308,1,T_A,finished
129,IDLE,59.2308,2,T_B,finished
129,IDLE,59.2308,3,T_C,finished
132,T_B,58.6466,1,T_A,finished
132,T_B,58.6466,2,T_B,running
132,T_B,58.6466,3,T_C,finished
133,IDLE,58.9552,1,T_A,finished
133,IDLE,58.9552,2,T_B,finished
133,IDLE,58.9552,3,T_C,finished
136,T_A,58.3942,1,T_A,running
136,T_A,58.3942,2,T_B,finished
136,T_A,58.3942,3,T_C,finished
137,IDLE,58.6957,1,T_A,finished
137,IDLE,58.6957,2,T_B,finished
137,IDLE,58.6957,3,T_C,finished
140,T_C,58.156,1,T_A,finished
140,T_C,58.156,2,T_B,finished
140,T_C,58.156,3,T_C,running
142,IDLE,58.7413,1,T_A,finished
142,IDLE,58.7413,2,T_B,finished
142,IDLE,58.7413,3,T_C,finished
144,T_B,58.6207,1,T_A,ready
144,T_B,58.6207,2,T_B,running
144,T_B,58.6207,3,T_C,finished
145,IDLE,58.9041,1,T_A,ready
145,IDLE,58.9041,2,T_B,finished
145,IDLE,58.9041,3,T_C,finished
146,T_A,59.1837,1,T_A,running
146,T_A,59.1837,2,T_B,finished
146,T_A,59.1837,3,T_C,finished
147,IDLE,59.4595,1,T_A,finished
147,IDLE,59.4595,2,T_B,finished
147,IDLE,59.4595,3,T_C,finished
152,T_A,58.1699,1,T_A,running
152,T_A,58.1699,2,T_B,finished
152,T_A,58.1699,3,T_C,finished
153,IDLE,58.4416,1,T_A,finished
153,IDLE,58.4416,2,T_B,finished
153,IDLE,58.4416,3,T_C,finished
156,T_B,57.9618,1,T_A,finished
156,T_B,57.9618,2,T_B,running
156,T_B,57.9618,3,T_C,finished
157,IDLE,58.2278,1,T_A,finished
157,IDLE,58.2278,2,T_B,finished
157,IDLE,58.2278,3,T_C,finished
160,T_A,57.764,1,T_A,running
160,T_A,57.764,2,T_B,finished
160,T_A,57.764,3,T_C,ready
161,IDLE,58.0247,1,T_A,finished
161,IDLE,58.0247,2,T_B,finished
161,IDLE,58.0247,3,T_C,ready
162,T_C,58.2822,1,T_A,finished
162,T_C,58.2822,2,T_B,finished
162,T_C,58.2822,3,T_C,running
164,IDLE,58.7879,1,T_A,finished
164,IDLE,58.7879,2,T_B,finished
164,IDLE,58.7879,3,T_C,finished
168,T_B,57.9882,1,T_A,ready
168,T_B,57.9882,2,T_B,running
168,T_B,57.9882,3,T_C,finished
169,IDLE,58.2353,1,T_A,ready
169,IDLE,58.2353,2,T_B,finished
169,IDLE,58.2353,3,T_C,finished
170,T_A,58.4795,1,T_A,running
170,T_A,58.4795,2,T_B,finished
170,T_A,58.4795,3,T_C,finished
171,IDLE,58.7209,1,T_A,finished
171,IDLE,58.7209,2,T_B,finished
171,IDLE,58.7209,3,T_C,finished
176,T_A,57.6271,1,T_A,running
176,T_A,57.6271,2,T_B,finished
176,T_A,57.6271,3,T_C,finished
177,IDLE,57.8652,1,T_A,finished
177,IDLE,57.8652,2,T_B,finished
177,IDLE,57.8652,3,T_C,finished
180,T_B,57.4586,1,T_A,finished
180,T_B,57.4586,2,T_B,running
180,T_B,57.4586,3,T_C,ready
181,IDLE,57.6923,1,T_A,finished
181,IDLE,57.6923,2,T_B,finished
181,IDLE,57.6923,3,T_C,ready
182,T_C,57.9235,1,T_A,finished
182,T_C,57.9235,2,T_B,finished
182,T_C,57.9235,3,T_C,running
184,T_A,58.3784,1,T_A,running
184,T_A,58.3784,2,T_B,finished
184,T_A,58.3784,3,T_C,ready
185,IDLE,58.6022,1,T_A,finished
185,IDLE,58.6022,2,T_B,finished
185,IDLE,58.6022,3,T_C,ready
186,IDLE,58.8235,1,T_A,finished
186,IDLE,58.8235,2,T_B,finished
186,IDLE,58.8235,3,T_C,finished
192,T_B,57.513,1,T_A,ready
192,T_B,57.513,2,T_B,running
192,T_B,57.513,3,T_C,finished
193,IDLE,57.732,1,T_A,ready
193,IDLE,57.732,2,T_B,finished
193,IDLE,57.732,3,T_C,finished
194,T_A,57.9487,1,T_A,running
194,T_A,57.9487,2,T_B,finished
194,T_A,57.9487,3,T_C,finished
195,IDLE,58.1633,1,T_A,finished
195,IDLE,58.1633,2,T_B,finished
195,IDLE,58.1633,3,T_C,finished
