Tick,CPU_Task,CPU_Util%,TaskID,Name,State
32,IDLE,93.9394,1,T1,finished
32,IDLE,93.9394,2,T2,ready
32,IDLE,93.9394,3,T3,ready
32,IDLE,93.9394,4,T4,finished
32,IDLE,93.9394,5,T5,finished
32,IDLE,93.9394,6,T6,ready
33,IDLE,94.1176,1,T1,finished
33,IDLE,94.1176,2,T2,finished
33,IDLE,94.1176,3,T3,ready
33,IDLE,94.1176,4,T4,finished
33,IDLE,94.1176,5,T5,finished
33,IDLE,94.1176,6,T6,ready
34,T3,94.2857,1,T1,finished
34,T3,94.2857,2,T2,finished
34,T3,94.2857,3,T3,running
34,T3,94.2857,4,T4,finished
34,T3,94.2857,5,T5,finished
34,T3,94.2857,6,T6,ready
35,IDLE,94.4444,1,T1,finished
35,IDLE,94.4444,2,T2,finished
35,IDLE,94.4444,3,T3,finished
35,IDLE,94.4444,4,T4,finished
35,IDLE,94.4444,5,T5,finished
35,IDLE,94.4444,6,T6,ready
36,T6,94.5946,1,T1,ready
36,T6,94.5946,2,T2,finished
36,T6,94.5946,3,T3,finished
36,T6,94.5946,4,T4,finished
36,T6,94.5946,5,T5,finished
36,T6,94.5946,6,T6,running
38,IDLE,94.8718,1,T1,ready
38,IDLE,94.8718,2,T2,finished
38,IDLE,94.8718,3,T3,finished
38,IDLE,94.8718,4,T4,finished
38,IDLE,94.8718,5,T5,finished
38,IDLE,94.8718,6,T6,finished
39,IDLE,95,1,T1,finished
39,IDLE,95,2,T2,finished
39,IDLE,95,3,T3,finished
39,IDLE,95,4,T4,finished
39,IDLE,95,5,T5,finished
39,IDLE,95,6,T6,finished
40,IDLE,95.122,1,T1,finished
40,IDLE,95.122,2,T2,finished
40,IDLE,95.122,3,T3,ready
40,IDLE,95.122,4,T4,finished
40,IDLE,95.122,5,T5,ready
40,IDLE,95.122,6,T6,finished
41,T3,95.2381,1,T1,finished
41,T3,95.2381,2,T2,finished
41,T3,95.2381,3,T3,running
41,T3,95.2381,4,T4,finished
41,T3,95.2381,5,T5,ready
41,T3,95.2381,6,T6,finished
42,IDLE,95.3488,1,T1,ready
42,IDLE,95.3488,2,T2,finished
42,IDLE,95.3488,3,T3,finished
42,IDLE,95.3488,4,T4,finished
42,IDLE,95.3488,5,T5,ready
42,IDLE,95.3488,6,T6,finished
43,IDLE,95.4545,1,T1,finished
43,IDLE,95.4545,2,T2,finished
43,IDLE,95.4545,3,T3,finished
43,IDLE,95.4545,4,T4,finished
43,IDLE,95.4545,5,T5,ready
43,IDLE,95.4545,6,T6,finished
44,T5,95.5556,1,T1,finished
44,T5,95.5556,2,T2,finished
44,T5,95.5556,3,T3,finished
44,T5,95.5556,4,T4,finished
44,T5,95.5556,5,T5,running
44,T5,95.5556,6,T6,finished
45,T5,95.6522,1,T1,finished
45,T5,95.6522,2,T2,finished
45,T5,95.6522,3,T3,finished
45,T5,95.6522,4,T4,ready
45,T5,95.6522,5,T5,running
45,T5,95.6522,6,T6,finished
46,IDLE,95.7447,1,T1,finished
46,IDLE,95.7447,2,T2,finished
46,IDLE,95.7447,3,T3,finished
46,IDLE,95.7447,4,T4,ready
46,IDLE,95.7447,5,T5,finished
46,IDLE,95.7447,6,T6,finished
47,T4,95.8333,1,T1,finished
47,T4,95.8333,2,T2,finished
47,T4,95.8333,3,T3,finished
47,T4,95.8333,4,T4,running
47,T4,95.8333,5,T5,finished
47,T4,95.8333,6,T6,finished
48,IDLE,95.9184,1,T1,ready
48,IDLE,95.9184,2,T2,ready
48,IDLE,95.9184,3,T3,finished
48,IDLE,95.9184,4,T4,finished
48,IDLE,95.9184,5,T5,finished
48,IDLE,95.9184,6,T6,finished
49,IDLE,96,1,T1,ready
49,IDLE,96,2,T2,finished
49,IDLE,96,3,T3,finished
49,IDLE,96,4,T4,finished
49,IDLE,96,5,T5,finished
49,IDLE,96,6,T6,finished
50,IDLE,96.0784,1,T1,finished
50,IDLE,96.0784,2,T2,finished
50,IDLE,96.0784,3,T3,ready
50,IDLE,96.0784,4,T4,finished
50,IDLE,96.0784,5,T5,finished
