Task,Start,End
T_10ms,0,1
T_15ms,1,3
T_25ms,3,6
Boot_Init,6,10
T_10ms,10,11
Boot_Init,11,12
T_50ms,12,15
Btn_AC,15,17
T_15ms,17,19
T_50ms,19,20
T_10ms,20,21
T_50ms,21,22
T_100ms,22,25
T_25ms,25,28
T_100ms,28,30
T_10ms,30,31
T_15ms,31,33
Btn_Horn,33,34
T_100ms,34,37
T_200ms,37,40
Sens_Temp,40,43
T_10ms,43,44
T_200ms,44,45
T_15ms,45,47
T_200ms,47,50
T_10ms,50,51
T_25ms,51,54
T_50ms,54,59
T_200ms,59,60
T_10ms,60,61
T_15ms,61,63
T_200ms,63,67
T_500ms,67,70
T_10ms,70,71
T_500ms,71,75
T_15ms,75,77
T_25ms,77,78
Btn_AC,78,80
T_10ms,80,81
T_25ms,81,83
T_500ms,83,90
T_10ms,90,91
T_15ms,91,93
T_500ms,93,99
