Task,Start,End
T_A,0,3
T_B,3,10
T_A,10,13
T_B,13,14
T_C,14,20
T_A,20,23
T_B,23,30
T_A,30,33
T_B,33,34
T_C,34,40
T_A,40,43
T_B,43,50
T_A,50,53
T_B,53,54
T_C,54,60
T_A,60,63
T_B,63,70
T_A,70,73
T_B,73,74
T_C,74,80
T_A,80,83
T_B,83,90
T_A,90,93
T_B,93,94
T_C,94,100
T_A,100,103
T_B,103,110
T_A,110,113
T_B,113,114
T_C,114,120
T_A,120,123
T_B,123,130
T_A,130,133
T_B,133,134
T_C,134,140
T_A,140,143
T_B,143,150
T_A,150,153
T_B,153,154
T_C,154,160
T_A,160,163
T_B,163,170
T_A,170,173
T_B,173,174
T_C,174,175
T_C,175,180
T_A,180,183
T_B,183,190
T_A,190,193
T_B,193,194
T_C,194,196
